frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
266,8879.4,,,,,,,,,,17,784,604,,,,,,,,,,,,,,,
267,8910.6,,,,,,,,,,17,784,606,,,,,,,,,,,,,,,
268,8942.8,,,,,,,,,,17,783,607,,,,,,,,,,,,,,,
269,8974.8,,,,,,,,,,17,783,608,,,,,,,,,,,,,,,
270,9011.6,,,,,,,,,,17,783,608,,,,,,,,,,,,,,,
271,9042.7,,,,,,,,,,16,784,607,,,,,,,,,,,,,,,
272,9075.0,,,,,,,,,,17,784,606,,,,,,,,,,,,,,,
273,9110.6,,,,,,,,,,17,784,603,,,,,,,,,,,,,,,
274,9142.7,,,,,,,,,,16,786,604,,,,,,,,,,,,,,,
275,9174.8,,,,,,,,,,17,788,604,,,,,,,,,,,,,,,
276,9210.6,5,647,107,,,,,,,16,790,603,,,,,,,,,,,,,,,
277,9242.7,,,,,,,,,,17,793,603,,,,,,,,,,,,,,,
278,9275.8,,,,,,,,,,16,795,601,,,,,,,,,,,,,,,
279,9310.5,,,,,,,,,,16,796,599,,,,,,,,,,,,,,,
280,9342.8,,,,,,,,,,17,800,602,,,,,,,,,,,,,,,
281,9376.2,,,,,,,,,,16,800,600,,,,,,,,,,,,,,,
282,9415.1,,,,,,,,,,16,800,600,,,,,,,,,,,,,,,
283,9446.7,,,,,,,,,,16,801,602,,,,,,,,,,,,,,,
284,9474.8,,,,,,,,,,17,800,603,,,,,,,,,,,,,,,
285,9510.7,,,,,,,,,,16,801,604,,,,,,,,,,,,,,,
286,9542.8,,,,,,,,,,16,801,605,,,,,,,,,,,,,,,
287,9575.1,,,,,,,,,,16,802,606,,,,,,,,,,,,,,,
288,9611.4,,,,,,,,,,16,803,606,,,,,,,,,,,,,,,
289,9647.8,,,,,,,,,,16,803,605,,,,,,,,,,,,,,,
290,9678.4,,,,,,,,,,15,804,604,,,,,,,,,,,,,,,
291,9711.5,,,,,,,,,,16,805,604,,,,,,,,,,,,,,,
292,9747.0,,,,,,,,,,16,804,603,,,,,,,,,,,,,,,
293,9774.8,,,,,,,,,,16,805,602,,,,,,,,,,,,,,,
294,9811.0,,,,,,,,,,16,806,603,,,,,,,,,,,,,,,
295,9842.8,,,,,,,,,,16,805,606,,,,,,,,,,,,,,,
296,9874.9,,,,,,,,,,16,802,607,,,,,,,,,,,,,,,
