frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
422,14075.2,16,635,615,,,,,,,,,,,,,,,
423,14111.9,16,659,613,,,,,,,,,,,,,,,
424,14143.2,15,675,614,,,,,,,,,,,,,,,
425,14175.0,15,681,614,,,,,,,,,,,,,,,
426,14211.0,15,675,614,,,,,,,,,,,,,,,
427,14243.3,16,658,614,,,,,,,,,,,,,,,
428,14275.3,16,632,614,,,,,,,,,,,,,,,
429,14311.0,16,600,609,,,,,,,,,,,,,,,
430,14346.6,16,566,609,,,,,,,,,,,,,,,
431,14375.3,18,534,607,,,,,,,,,,,,,,,
432,14411.2,18,506,604,,,,,,,,,,,,,,,
433,14443.3,18,488,602,,,,,,,,,,,,,,,
434,14475.3,18,478,599,,,,,,,,,,,,,,,
435,14511.6,18,480,595,,,,,,,,,,,,,,,
436,14543.3,18,494,593,,,,,,,,,,,,,,,
437,14575.0,17,518,588,,,,,,,,,,,,,,,
438,14611.1,18,549,587,,,,,,,,,,,,,,,
439,14643.7,17,583,581,,,,,,,,,,,,,,,
440,14675.0,17,618,580,,,,,,,,,,,,,,,
441,14711.0,17,648,576,,,,,,,,,,,,,,,
442,14743.9,17,671,575,,,,,,,,,,,,,,,
443,14775.4,17,682,575,,,,,,,,,,,,,,,
444,14810.9,16,682,572,,,,,,,,,,,,,,,
445,14843.8,17,668,573,,,,,,,,,,,,,,,
446,14877.6,18,647,578,,,,,,,,,,,,,,,
447,14911.1,16,618,578,,,,,,,,,,,,,,,
448,14943.1,18,582,581,,,,,,,,,,,,,,,
449,14975.2,18,547,583,,,,,,,,,,,,,,,
450,15011.0,18,515,586,,,,,,,,,,,,,,,
451,15043.2,18,493,591,,,,,,,,,,,,,,,
452,15075.0,18,479,593,,,,,,,,,,,,,,,
453,15111.2,19,477,595,,,,,,,,,,,,,,,
454,15143.5,18,487,597,,,,,,,,,,,,,,,
455,15175.1,18,507,601,,,,,,,,,,,,,,,
456,15213.5,16,536,604,,,,,,,,,,,,,,,
457,15244.4,17,569,607,,,,,,,,,,,,,,,
458,15275.1,17,603,609,,,,,,,,,,,,,,,
459,15310.9,16,635,608,,,,,,,,,,,,,,,
460,15345.9,16,660,612,,,,,,,,,,,,,,,
461,15378.0,15,676,614,,,,,,,,,,,,,,,
462,15413.4,16,682,613,,,,,,,,,,,,,,,
463,15443.0,15,675,614,,,,,,,,,,,,,,,
464,15474.8,14,658,614,,,,,,,,,,,,,,,
465,15510.9,14,633,613,,,,,,,,,,,,,,,
466,15543.2,15,601,612,,,,,,,,,,,,,,,
467,15575.3,17,566,611,,,,,,,,,,,,,,,
468,15611.0,16,535,610,,,,,,,,,,,,,,,
469,15643.1,17,506,606,,,,,,,,,,,,,,,
470,15675.2,18,488,606,,,,,,,,,,,,,,,
471,15710.9,17,479,603,,,,,,,,,,,,,,,
472,15743.2,18,481,600,,,,,,,,,,,,,,,
473,15775.3,17,496,598,,,,,,,,,,,,,,,
474,15810.9,17,519,595,,,,,,,,,,,,,,,
475,15843.6,18,550,593,,,,,,,,,,,,,,,
476,15875.3,17,585,591,,,,,,,,,,,,,,,
477,15911.0,17,618,587,,,,,,,,,,,,,,,
478,15943.5,18,649,586,,,,,,,,,,,,,,,
479,15975.5,17,671,584,,,,,,,,,,,,,,,
480,16011.5,16,683,581,,,,,,,,,,,,,,,
481,16043.3,17,682,580,,,,,,,,,,,,,,,
482,16075.0,16,671,580,,,,,,,,,,,,,,,
483,16111.0,17,646,581,,,,,,,,,,,,,,,
484,16143.2,15,618,581,,,,,,,,,,,,,,,
485,16175.3,14,584,580,,,,,,,,,,,,,,,
486,16211.0,16,546,583,,,,,,,,,,,,,,,
487,16247.2,17,516,585,,,,,,,,,,,,,,,
488,16275.2,18,491,587,,,,,,,,,,,,,,,
489,16311.1,18,477,590,,,,,,,,,,,,,,,
490,16343.3,18,476,592,,,,,,,,,,,,,,,
491,16375.1,15,487,592,,,,,,,,,,,,,,,
492,16413.8,16,506,594,,,,,,,,,,,,,,,
493,16445.6,15,533,596,,,,,,,,,,,,,,,
494,16475.4,14,569,599,,,,,,,,,,,,,,,
495,16512.2,13,606,598,,,,,,,,,,,,,,,
496,16548.8,15,634,602,,,,,,,,,,,,,,,
497,16575.3,15,662,603,,,,,,,,,,,,,,,
498,16611.5,15,677,605,,,,,,,,,,,,,,,
499,16643.4,15,683,605,,,,,,,,,,,,,,,
500,16676.0,15,676,606,,,,,,,,,,,,,,,
501,16711.0,14,659,607,,,,,,,,,,,,,,,
502,16743.1,15,633,609,,,,,,,,,,,,,,,
503,16775.3,16,601,610,,,,,,,,,,,,,,,
504,16811.2,14,569,606,,,,,,,,,,,,,,,
505,16843.1,17,533,607,,,,,,,,,,,,,,,
506,16875.2,15,508,606,,,,,,,,,,,,,,,
507,16911.0,18,487,606,,,,,,,,,,,,,,,
508,16943.2,17,479,604,,,,,,,,,,,,,,,
509,16975.5,17,481,605,,,,,,,,,,,,,,,
510,17011.2,18,496,602,,,,,,,,,,,,,,,
511,17043.3,17,519,601,,,,,,,,,,,,,,,
512,17075.5,16,550,598,,,,,,,,,,,,,,,
513,17110.9,17,585,599,,,,,,,,,,,,,,,
514,17143.4,16,618,596,,,,,,,,,,,,,,,
515,17175.3,15,648,593,,,,,,,,,,,,,,,
516,17211.0,15,671,592,,,,,,,,,,,,,,,
517,17243.1,17,682,591,,,,,,,,,,,,,,,
518,17275.1,16,683,590,,,,,,,,,,,,,,,
519,17310.9,18,670,590,,,,,,,,,,,,,,,
520,17353.4,17,648,590,,,,,,,,,,,,,,,
521,17376.5,17,618,589,,,,,,,,,,,,,,,
522,17411.2,17,584,590,,,,,,,,,,,,,,,
523,17443.0,17,548,588,,,,,,,,,,,,,,,
524,17475.2,18,517,590,,,,,,,,,,,,,,,
525,17511.3,18,494,592,,,,,,,,,,,,,,,
526,17543.1,18,480,593,,,,,,,,,,,,,,,
527,17575.2,18,476,593,,,,,,,,,,,,,,,
528,17611.3,18,484,593,,,,,,,,,,,,,,,
529,17643.2,17,503,593,,,,,,,,,,,,,,,
530,17675.4,17,532,595,,,,,,,,,,,,,,,
531,17711.7,17,565,595,,,,,,,,,,,,,,,
532,17744.1,16,601,596,,,,,,,,,,,,,,,
533,17775.0,15,635,597,,,,,,,,,,,,,,,
534,17811.0,16,661,595,,,,,,,,,,,,,,,
535,17843.1,15,678,597,,,,,,,,,,,,,,,
536,17875.2,14,683,597,,,,,,,,,,,,,,,
537,17913.2,15,679,600,,,,,,,,,,,,,,,
538,17943.8,14,661,600,,,,,,,,,,,,,,,
539,17975.2,14,635,602,,,,,,,,,,,,,,,
540,18011.5,16,602,604,,,,,,,,,,,,,,,
541,18043.5,14,569,605,,,,,,,,,,,,,,,
542,18075.6,16,535,604,,,,,,,,,,,,,,,
543,18112.2,15,509,605,,,,,,,,,,,,,,,
544,18143.5,16,490,606,,,,,,,,,,,,,,,
545,18176.0,17,480,607,,,,,,,,,,,,,,,
546,18211.3,16,483,607,,,,,,,,,,,,,,,
547,18248.4,15,497,606,,,,,,,,,,,,,,,
548,18275.6,17,518,604,,,,,,,,,,,,,,,
549,18311.2,16,549,605,,,,,,,,,,,,,,,
550,18343.3,16,583,604,,,,,,,,,,,,,,,
551,18377.0,16,617,604,,,,,,,,,,,,,,,
552,18411.2,16,646,603,,,,,,,,,,,,,,,
553,18443.0,15,669,601,,,,,,,,,,,,,,,
554,18475.7,16,681,601,,,,,,,,,,,,,,,
555,18511.2,14,681,598,,,,,,,,,,,,,,,
556,18543.3,16,671,598,,,,,,,,,,,,,,,
557,18575.2,17,649,599,,,,,,,,,,,,,,,
558,18611.3,14,622,595,,,,,,,,,,,,,,,
559,18644.1,16,586,596,,,,,,,,,,,,,,,
560,18675.7,17,550,594,,,,,,,,,,,,,,,
561,18711.0,15,520,593,,,,,,,,,,,,,,,
562,18743.0,18,495,595,,,,,,,,,,,,,,,
563,18775.4,16,481,592,,,,,,,,,,,,,,,
564,18811.3,16,478,592,,,,,,,,,,,,,,,
565,18846.7,18,484,593,,,,,,,,,,,,,,,
566,18875.3,14,505,590,,,,,,,,,,,,,,,
567,18911.6,16,530,591,,,,,,,,,,,,,,,
568,18943.8,14,565,589,,,,,,,,,,,,,,,
569,18975.2,15,598,590,,,,,,,,,,,,,,,
570,19011.2,14,633,590,,,,,,,,,,,,,,,
571,19043.4,15,659,589,,,,,,,,,,,,,,,
572,19075.1,12,678,585,,,,,,,,,,,,,,,
573,19111.3,14,682,589,,,,,,,,,,,,,,,
574,19143.5,10,676,586,,,,,,,,,,,,,,,
575,19175.3,12,662,590,,,,,,,,,,,,,,,
576,19211.4,12,637,593,,,,,,,,,,,,,,,
577,19242.9,13,605,595,,,,,,,,,,,,,,,
578,19275.3,16,569,599,,,,,,,,,,,,,,,
579,19311.3,16,535,601,,,,,,,,,,,,,,,
580,19343.0,15,510,602,,,,,,,,,,,,,,,
581,19375.1,17,489,605,,,,,,,,,,,,,,,
582,19411.1,17,480,606,,,,,,,,,,,,,,,
583,19443.4,17,483,606,,,,,,,,,,,,,,,
584,19475.2,17,496,609,,,,,,,,,,,,,,,
585,19511.1,16,520,609,,,,,,,,,,,,,,,
586,19543.4,16,550,610,,,,,,,,,,,,,,,
587,19575.2,16,583,611,,,,,,,,,,,,,,,
